Experiment,Group,0
E12-06-119,rg-a,0
E12-09-003,rg-a,0
E12-11-005,rg-a,0
E12-06-108,rg-a,0
E12-06-112,rg-a,0
E12-12-001,rg-a,0
E12-12-007,rg-a,0
E12-07-104,rg-b,0
E12-09-007,rg-b,0
E12-09-008,rg-b,0
E12-11-003,rg-b,0
E12-06-109,rg-c,0
E12-06-119,rg-c,0
E12-07-107,rg-c,0
E12-09-007,rg-c,0
E12-09-009,rg-c,0
E12-06-106,rg-d,0
E12-06-113,rg-f,0
E12-11-006,rg-h,0
E95-003,e1,0
E12-17-006,rg-m,0
E99-006,e1,0
E89-037,e1,0
E89-038,e1,0
E89-039,e1,0
E89-042,e1,0
E89-043,e1,0
E91-002,e1,0
E91-024,e1,0
E93-006,e1,0
E93-012,e1,0
E93-022,e1,0
E93-030,e1,0
E94-005,e1,0
E99-105,e1,0
E99-107,e1,0
E99-108,e1,0
E00-112,e1,0
E06-003,e1,0
E97-001,e2,0
E98-104,e2,0
E89-015,e2,0
E89-017,e2,0
E89-027,e2,0
E89-031,e2,0
E89-032,e2,0
E89-036,e2,0
E94-017,e5,0
E94-019,e6,0
E94-102,e6,0
E03-012,e8,0
E91-023,eg1,0
E93-009,eg1,0
E93-036,eg1,0
E94-003,eg1,0
E05-113,eg1,0
E05-114,eg1,0
E02-104,eg2,0
E02-110,eg2,0
E04-010,eg3,0
E03-006,eg4,0
E04-116,eg5,0
E07-005,eg5,0
E07-009,eg6,0
E08-024,eg6,0
E89-004,g1,0
E89-024,g1,0
E91-008,g1,0
E93-033,g1,0
E94-015,g1,0
E94-103,g1,0
E03-113,g10,0
E04-021,g11,0
E04-005,g12,0
E04-017,g12,0
E06-103,g13,0
E06-101,g14,0
E89-045,g2,0
E93-008,g2,0
E93-017,g2,0
E94-008,g2,0
E93-008,g3,0
E93-019,g5,0
E99-005,g6,0
E01-017,g6,0
E93-031,g6,0
E01-112,g7,0
E98-109,g8,0
E99-013,g8,0
E94-109,g8,0
E02-112,g9,0
E03-105,g9,0
E05-012,g9,0
E06-013,g9,0
E94-016,e94016,0
E02-103,primex,0
E08-023,primex2,0
E12-11-106,e1211106,0
E12-16-010,rg-k,0
E01-103,e1,0
E12-06-117,rg-e,
E12-14-001,rg-g,
E01-103,e1,
